"classe","ordem","familia","genero","nome_cientifico","nome_cientifico_anterior","nome_comum","categoria","criterio"
"Mammalia","Rodentia","Echimyidae","Proechimys","Proechimys guyannensis","Proechimys guyannensis","Soiá","Menos Preocupante",NA
"Mammalia","Rodentia","Echimyidae","Proechimys","Proechimys pattoni","Proechimys pattoni","Patton’s Spiny-rat, Rato-do-espinho","Menos Preocupante",NA
"Mammalia","Rodentia","Echimyidae","Phyllomys","Phyllomys lundi",NA,"Lund’s Atlantic tree-rat, Rato-da-árvore","Em Perigo","B2ab(iii,iv)"
"Mammalia","Rodentia","Sciuridae","Hadrosciurus","Hadrosciurus ignitus","Notosciurus pucheranii","Esquilo","Menos Preocupante",NA
"Aves","Galliformes","Cracidae","Crax","Crax blumenbachii","Crax blumenbachii","mutum-de-bico-vermelho, mutum-do-sudeste","Em Perigo","C2a(i)"
"Mammalia","Didelphimorphia","Didelphidae","Monodelphis","Monodelphis saci",NA,NA,"Menos Preocupante",NA
"Mammalia","Rodentia","Echimyidae","Trinomys","Trinomys gratiosus",NA,NA,"Menos Preocupante",NA
"Aves","Galliformes","Cracidae","Penelope","Penelope superciliaris","Penelope superciliaris","jacupemba","Menos Preocupante",NA
"Aves","Tinamiformes","Tinamidae","Crypturellus","Crypturellus variegatus","Crypturellus variegatus","inhambu-anhangá","Menos Preocupante",NA
"Aves","Galliformes","Cracidae","Penelope","Penelope obscura","Penelope obscura","jacuaçu","Menos Preocupante",NA
"Mammalia","Primates","Callitrichidae","Saguinus","Saguinus ursulus",NA,NA,"Quase Ameaçada",NA
"Mammalia","Primates","Callitrichidae","Saguinus","Saguinus niger",NA,"guaribinha, Sagui-una","Vulnerável","A4c"
"Mammalia","Primates","Callitrichidae","Leontocebus","Leontocebus cruzlimai","Saguinus fuscicollis cruzlimai","Sagui-da-cara-suja, Sauim vermelho","Menos Preocupante",NA
"Mammalia","Primates","Callitrichidae","Mico","Mico acariensis","Mico acariensis","Sagui-do-rio-Acari","Menos Preocupante",NA
"Mammalia","Primates","Callitrichidae","Mico","Mico chrysoleucos","Mico chrysoleucos","Sagui-de-tufos-brancos","Menos Preocupante",NA
"Mammalia","Primates","Callitrichidae","Mico","Mico intermedius","Mico intermedius","sagui-do-Rio-Aripuanã, Sagui-intermédio","Menos Preocupante",NA
"Mammalia","Primates","Callitrichidae","Mico","Mico mauesi","Mico mauesi","Sagui-de-Maués, Sagui-de-tufos","Menos Preocupante",NA
"Mammalia","Primates","Callitrichidae","Mico","Mico nigriceps","Mico nigriceps","Sagui-de-cabeça-preta","Menos Preocupante",NA
"Mammalia","Primates","Cebidae","Cebus","Cebus yuracus","Cebus cuscinus","Caiarara","Menos Preocupante",NA
"Mammalia","Primates","Cebidae","Cebus","Cebus unicolor","Cebus unicolor","Caiarara","Menos Preocupante",NA
"Mammalia","Primates","Cebidae","Saimiri","Saimiri cassiquiarensis","Saimiri cassiquiarensis","Macaco-de-cheiro","Menos Preocupante",NA
"Mammalia","Primates","Cebidae","Saimiri","Saimiri sciureus","Saimiri sciureus","Amarelinho, Capijuba, Macaco-de-cheiro, Mão-de-ouro, Mico-de-cheiro","Menos Preocupante",NA
"Mammalia","Primates","Callitrichidae","Callithrix","Callithrix flaviceps",NA,"Sagui-da-serra, Sagui-da-serra-claro, Sagui-taquara","Em Perigo","C1+2a(i)"
