"classe","ordem","familia","genero","nome_cientifico","nome_cientifico_anterior","nome_comum","categoria","criterio"
"Mammalia","Primates","Cebidae","Saimiri","Saimiri vanzolinii",NA,"Macaco-de-cheiro-de-cabeça-preta","Vulnerável","D2"
"Mammalia","Primates","Cebidae","Sapajus","Sapajus flavius","Sapajus flavius","Macaco, Macaco-prego, Macaco-prego-galego","Em Perigo","B2ab(iii,v); C2a(i)"
"Mammalia","Primates","Cebidae","Sapajus","Sapajus xanthosternos","Sapajus xanthosternos","Macaco prego do peito amarelo, Macaco-prego-do-peito-amarelo","Em Perigo","C2a(i)"
"Mammalia","Primates","Atelidae","Brachyteles","Brachyteles arachnoides","Brachyteles arachnoides","Buriqui, Buriquim, Mariquina, Mono, Mono-carvoeiro, Muriqui-do-sul, Muriquina, Muriquinina","Em Perigo","A4cd"
"Mammalia","Primates","Atelidae","Alouatta","Alouatta caraya",NA,"Barbado, Bugio-preto, Guariba-preto","Quase Ameaçada",NA
"Mammalia","Primates","Callitrichidae","Callimico","Callimico goeldii","Callimico goeldii","Calimico, Macaco-de-Goeldi, Mico-preto, Sagui-de-Goeldi, Soim-preto, Taboqueiro","Menos Preocupante",NA
"Mammalia","Primates","Callitrichidae","Leontocebus","Leontocebus weddelli","Saguinus weddelli weddelli","Sagüi, Sagui-preto, Sauim, Soim, Soim preto, Soim vermelho","Menos Preocupante",NA
"Mammalia","Primates","Pitheciidae","Chiropotes","Chiropotes sagulatus","Chiropotes sagulatus","Cuxiú","Menos Preocupante",NA
"Mammalia","Primates","Pitheciidae","Plecturocebus","Plecturocebus baptista","Callicebus baptista","Zogue-zogue","Menos Preocupante",NA
"Mammalia","Primates","Pitheciidae","Callicebus","Callicebus bernhardi",NA,"Zogue-zogue","Menos Preocupante",NA
"Mammalia","Primates","Pitheciidae","Callicebus","Callicebus coimbrai","Callicebus coimbrai","Guigó, Guigó-de-Coimbra-Filho, Guigó de Sergipe","Em Perigo","C2a(i)"
"Mammalia","Primates","Pitheciidae","Cheracebus","Cheracebus lucifer","Callicebus lucifer","Zogue-zogue","Menos Preocupante",NA
"Mammalia","Primates","Pitheciidae","Callicebus","Callicebus personatus","Callicebus personatus","Guigó, Guigó-mascarado, Sauá-de-cara-preta","Vulnerável","C2a(i)"
"Mammalia","Primates","Pitheciidae","Plecturocebus","Plecturocebus vieirai","Callicebus vierai","Guigó, Sauá, Zogue-zogue","Menos Preocupante",NA
"Mammalia","Primates","Pitheciidae","Pithecia","Pithecia irrorata","Pithecia irrorata irrorata","Macaco-cabeludo, Macaco-velho, Parauacú","Menos Preocupante",NA
"Mammalia","Primates","Pitheciidae","Pithecia","Pithecia monachus","Pithecia monachus","macaco-velho, macaco-voador, parauacu, Parauacu-monge","Menos Preocupante",NA
"Mammalia","Primates","Aotidae","Aotus","Aotus nigriceps","Aotus nigriceps","Macaco-da-noite, Macaco-da-noite-de-pescoço-vermelho, Quatro-olhos","Menos Preocupante",NA
"Mammalia","Didelphimorphia","Didelphidae","Philander","Philander pebas",NA,NA,"Menos Preocupante",NA
"Mammalia","Didelphimorphia","Didelphidae","Philander","Philander canus",NA,NA,"Menos Preocupante",NA
"Mammalia","Didelphimorphia","Didelphidae","Marmosa","Marmosa rapposa",NA,NA,"Dados Insuficientes",NA
"Mammalia","Lagomorpha","Leporidae","Sylvilagus","Sylvilagus minensis",NA,NA,"Menos Preocupante",NA
"Aves","Galliformes","Cracidae","Ortalis","Ortalis ruficeps",NA,"aracuãzinho","Menos Preocupante",NA
"Mammalia","Rodentia","Echimyidae","Trinomys","Trinomys elegans",NA,"Rato de Espinho","Menos Preocupante",NA
"Mammalia","Rodentia","Erethizontidae","Coendou","Coendou longicaudatus",NA,"ouriço-de-cauda-longa","Menos Preocupante",NA
